"","X1","X2","X3","Order_reshape"
"101720","1649768","2679372","1901786","101720"
"101743","2664952","965730","288944","101743"
"101746","58552","1801024","1707416","101746"
"101747","1887401","123343","1325802","101747"
"101749","375294","166517","1369001","101749"
"101750","1808215","1952217","1649774","101750"
"101752","173745","15359","1765018","101752"
"101776","101785","51375","144976","101776"
"101777","166576","152178","29789","101777"
"101787","58586","116186","130580","101787"
"108746","403943","396747","101554","108746"
"108749","274347","144758","504748","108749"
"108750","591149","209562","144763","108750"
"108751","281557","612754","274355","108751"
"108752","303143","202349","605550","108752"
"108753","51143","432744","51147","108753"
"108755","511945","159163","511946","108755"
"108758","295956","187951","382354","108758"
"108760","187951","295956","382354","108760"
"108853","432927","1311346","368093","108853"
"108857","648880","2578542","778532","108857"
"108861","504914","65656","1116959","108861"
"108863","101679","1750600","1793799","108863"
"108867","173667","483279","1210541","108867"
"108868","1556203","1808222","404142","108868"
"108869","2650545","2161001","224135","108869"
"108870","886571","792925","1649796","108870"
"108871","2614557","2405743","821757","108871"
"108872","1837015","1786622","1786618","108872"
"108874","692119","2607354","958567","108874"
"108876","51346","1808204","166468","108876"
"108877","1664198","260119","1635396","108877"
"108878","65745","1894616","51358","108878"
"108879","1390603","339349","80118","108879"
"108881","1138527","58482","65720","108881"
"108885","65712","1548987","425692","108885"
"108912","1829813","1224933","260103","108912"
"108915","72914","1649799","303274","108915"
"108916","65743","231270","1664174","108916"
"108917","555337","1556159","2290562","108917"
"108919","706552","360901","123331","108919"
"108920","2564173","1527395","1361803","108920"
"108925","1736155","1016109","447311","108925"
"108927","1325743","1793788","1865811","108927"
"108943","29759","195341","29757","108943"
"108946","1405001","1916215","1829804","108946"
"108947","1909016","44154","1959423","108947"
"108949","123339","1678616","94520","108949"
"108953","245736","1671416","1873003","108953"
"115949","454348","223949","288748","115949"
"115950","447152","468756","439954","115950"
"115951","29559","72762","231153","115951"
"115952","396759","439958","468757","115952"
"115953","144754","605547","591151","115953"
"115955","43950","259940","447145","115955"
"115957","511954","612752","598356","115957"
"115958","295956","187951","382354","115958"
"115961","555155","526357","540759","115961"
"115962","267152","22361","65555","115962"
"116053","1354601","476078","2672169","116053"
"116054","483317","1476992","1275381","116054"
"116055","418472","728118","87259","116055"
"116057","108901","58520","238492","116057"
"116060","944176","116112","159352","116060"
"116061","1138541","116140","1174542","116061"
"116062","1707403","1973790","1412199","116062"
"116068","382475","303328","116112","116068"
"116069","735359","936969","173740","116069"
"116076","1282582","1275341","1541795","116076"
"116077","274546","80144","1829808","116077"
"116078","368078","2081804","447272","116078"
"116079","2038605","1815353","188082","116079"
"116081","677732","274485","526523","116081"
"116089","58529","850560","1865803","116089"
"116096","216890","1620988","346502","116096"
"116105","627302","425702","2499366","116105"
"116106","2024211","51359","461698","116106"
"116107","1224933","1829813","260103","116107"
"116109","332074","1714582","2067405","116109"
"116114","1923417","1894608","1887416","116114"
"116119","216863","1606606","130483","116119"
"116120","224079","238466","324871","116120"
"116122","857723","130468","195263","116122"
"116124","670535","2621752","836147","116124"
"116125","65713","2153801","72878","116125"
"116149","231276","123345","1779411","116149"
"116150","1743404","1829795","1692975","116150"
"116151","353693","22531","648953","116151"
"116178","180978","166578","36991","116178"
"116182","130581","159381","65783","116182"
"116184","94580","36986","80182","116184"
"116185","116179","44168","15380","116185"
"123148","159157","454350","29561","123148"
"123150","447152","461554","468756","123150"
"123151","468758","461557","439956","123151"
"123152","403955","670352","677552","123152"
"123155","317545","94342","403944","123155"
"123157","382354","173561","187951","123157"
"123159","346350","310361","151952","123159"
"123162","346350","454350","159157","123162"
"123255","555337","1837011","1556159","123255"
"123257","461670","1404985","332113","123257"
"123260","375341","1808211","324948","123260"
"123261","389739","555324","1368992","123261"
"123262","2528156","260090","972977","123262"
"123268","202477","1779408","231272","123268"
"123269","1743412","1880218","1887409","123269"
"123271","2664946","1469785","1880215","123271"
"123272","15346","360941","533723","123272"
"123277","1484198","72940","1145745","123277"
"123278","209671","101751","1858601","123278"
"123279","1563405","612933","346482","123279"
"123288","756961","404103","1563408","123288"
"123289","173688","1916171","2463362","123289"
"123291","339285","1837011","555337","123291"
"123296","310533","1224972","101696","123296"
"123297","828884","468948","101698","123297"
"123306","670484","1786615","468942","123306"
"123309","1232181","692123","548089","123309"
"123310","22479","101721","368091","123310"
"123313","404104","195267","1642588","123313"
"123314","1671390","1822613","1815411","123314"
"123319","2110539","245744","1325803","123319"
"123320","353705","1289715","432902","123320"
